Attendance,Study_Hours,Previous_Marks,Result
51,1.0,81,Pass
90,5.0,85,Pass
39,3.0,68,Fail
87,4.0,28,Fail
95,0.5,46,Pass
85,4.0,86,Pass
80,2.0,69,Pass
89,3.0,87,Pass
38,2.0,52,Fail
48,6.0,60,Pass
43,2.0,85,Pass
68,5.5,78,Pass
83,5.5,51,Pass
76,3.0,27,Fail
90,2.0,87,Pass
45,2.5,80,Fail
83,6.0,56,Pass
48,4.0,63,Pass
53,3.5,39,Fail
81,0.5,54,Fail
99,5.0,36,Pass
75,1.0,40,Fail
39,1.0,84,Fail
75,2.0,50,Fail
38,3.0,82,Pass
92,5.5,58,Pass
81,5.0,30,Pass
46,1.5,50,Fail
41,2.5,36,Fail
47,5.0,74,Pass
99,3.5,89,Pass
65,1.5,78,Pass
86,2.5,79,Pass
76,4.0,85,Pass
72,6.0,79,Pass
44,4.0,65,Pass
96,0.5,75,Pass
55,4.5,54,Pass
73,2.0,30,Fail
80,5.0,74,Pass
77,2.5,76,Pass
96,1.5,41,Pass
45,3.0,92,Pass
68,2.0,29,Fail
61,2.0,77,Pass
66,3.5,93,Pass
43,4.5,47,Fail
44,5.0,89,Pass
53,2.5,83,Fail
55,1.0,77,Fail
63,3.0,92,Pass
75,3.0,71,Pass
76,1.5,60,Pass
62,5.5,72,Pass
62,6.0,54,Pass
49,1.0,48,Fail
73,5.0,31,Fail
56,4.0,51,Pass
37,2.0,81,Pass
62,4.0,91,Pass
66,1.0,93,Pass
50,1.0,39,Fail
72,6.0,65,Pass
72,4.0,65,Pass
81,2.0,37,Pass
77,3.0,66,Pass
77,5.5,50,Pass
56,3.0,91,Pass
86,5.5,43,Pass
71,5.5,83,Pass
63,2.5,88,Pass
76,4.5,77,Pass
58,4.0,40,Fail
68,4.5,43,Pass
83,2.5,93,Pass
93,1.0,30,Fail
95,1.5,33,Pass
68,4.0,93,Pass
69,5.0,79,Pass
87,4.5,77,Pass
55,3.5,36,Fail
89,1.0,59,Pass
67,0.5,84,Fail
43,5.0,48,Fail
40,3.5,38,Fail
90,5.0,26,Pass
39,1.5,69,Fail
53,2.5,46,Fail
57,5.5,85,Pass
46,1.5,45,Fail
55,1.0,36,Fail
83,4.0,92,Pass
36,4.0,93,Fail
89,5.5,73,Pass
91,5.5,90,Pass
59,4.5,36,Fail
45,0.5,57,Fail
74,3.0,39,Pass
43,5.5,59,Pass
59,3.0,80,Pass
97,6.0,84,Pass
100,4.0,25,Pass
85,1.0,52,Fail
55,3.5,95,Pass
80,4.5,66,Pass
81,1.0,46,Fail
60,2.5,52,Pass
77,4.5,48,Pass
36,1.5,56,Fail
49,2.5,56,Fail
69,4.5,60,Pass
46,5.0,58,Fail
46,3.5,61,Fail
89,6.0,27,Pass
99,5.5,29,Pass
71,3.0,51,Fail
90,1.5,87,Pass
99,5.0,80,Pass
44,2.0,33,Fail
64,5.0,60,Pass
61,3.5,67,Pass
40,2.5,59,Fail
84,3.5,74,Pass
63,3.5,95,Pass
66,5.5,32,Pass
45,1.5,61,Fail
47,5.5,61,Pass
94,0.5,64,Pass
38,4.5,37,Fail
50,5.5,70,Pass
54,2.5,28,Fail
67,1.0,77,Pass
73,5.0,71,Pass
67,5.0,48,Pass
40,2.5,94,Fail
51,3.5,83,Fail
90,5.0,63,Pass
76,1.5,94,Pass
77,4.0,83,Pass
79,3.0,35,Fail
85,1.5,66,Pass
39,5.0,66,Pass
59,2.5,71,Pass
70,5.5,91,Pass
57,3.5,59,Fail
90,3.5,30,Pass
66,3.0,59,Pass
85,2.5,80,Pass
90,5.0,50,Pass
68,4.0,27,Fail
94,5.0,46,Pass
73,3.0,73,Pass
90,2.0,31,Fail
57,1.0,51,Fail
67,5.0,34,Pass
70,3.0,58,Pass
42,3.5,35,Fail
61,3.0,33,Fail
95,3.0,74,Pass
76,4.5,36,Pass
47,4.0,36,Pass
57,6.0,66,Pass
47,1.5,28,Fail
37,3.5,27,Fail
95,1.0,55,Pass
64,5.0,51,Fail
55,4.0,63,Pass
74,3.0,95,Pass
35,5.0,55,Fail
53,3.0,65,Pass
81,2.0,89,Pass
76,3.0,59,Pass
99,1.0,80,Pass
75,5.5,63,Pass
66,4.5,70,Pass
84,4.5,90,Pass
94,5.5,25,Pass
82,5.0,88,Pass
98,3.0,60,Pass
86,1.0,67,Pass
91,2.5,57,Pass
42,5.5,43,Pass
83,5.5,30,Pass
64,4.5,91,Pass
71,1.5,69,Pass
78,1.5,86,Pass
98,5.5,45,Pass
99,1.5,44,Pass
54,3.5,49,Fail
83,2.5,41,Pass
84,2.0,60,Pass
58,4.0,91,Pass
43,6.0,86,Pass
38,5.0,60,Fail
86,3.0,49,Pass
67,3.0,68,Pass
99,5.5,68,Pass
65,3.5,73,Pass
99,3.0,62,Pass
62,4.5,27,Pass
87,2.0,30,Pass
41,1.0,93,Fail
71,5.0,77,Pass
87,4.0,91,Pass
95,1.5,49,Pass
88,2.0,62,Pass
37,6.0,48,Pass
59,4.0,89,Pass
38,4.0,45,Fail
42,1.0,74,Pass
79,6.0,37,Pass
81,5.5,32,Pass
85,3.5,36,Pass
91,2.0,62,Pass
83,4.5,84,Pass
87,5.0,95,Pass
38,5.0,69,Fail
50,6.0,62,Pass
75,4.0,80,Pass
91,2.5,29,Pass
35,3.0,82,Fail
68,5.0,78,Pass
79,2.0,62,Pass
37,2.0,27,Fail
61,4.5,39,Pass
93,3.0,51,Pass
79,5.0,91,Pass
50,1.5,70,Fail
90,2.5,61,Pass
58,2.0,59,Fail
90,4.5,80,Pass
54,4.5,48,Pass
73,3.0,32,Fail
61,3.0,72,Pass
53,1.0,48,Fail
93,4.5,48,Pass
47,6.0,57,Pass
41,5.0,42,Fail
57,1.5,90,Fail
82,4.0,84,Pass
87,2.0,94,Pass
100,0.5,93,Pass
54,1.5,47,Fail
62,1.0,52,Fail
44,1.5,74,Fail
72,5.0,26,Fail
100,2.0,95,Pass
81,4.5,26,Pass
74,5.5,62,Pass
61,3.5,72,Pass
94,3.0,89,Pass
67,4.5,70,Pass
44,1.0,67,Fail
59,3.0,46,Fail
39,3.0,66,Fail
48,5.0,77,Pass
36,5.0,61,Pass
64,5.0,80,Pass
76,4.5,30,Pass
57,3.5,48,Pass
62,5.0,92,Pass
97,5.5,48,Pass
84,3.0,69,Pass
70,6.0,61,Pass
53,5.5,91,Pass
93,3.5,36,Pass
50,1.0,46,Fail
56,1.5,85,Fail
94,5.0,72,Pass
69,1.0,63,Pass
83,3.0,53,Pass
73,4.0,54,Pass
77,5.5,90,Pass
54,5.0,72,Pass
51,4.5,90,Pass
56,2.5,93,Pass
45,1.5,63,Fail
92,4.0,68,Pass
53,1.5,71,Pass
71,3.5,84,Pass
86,6.0,71,Pass
86,3.5,33,Fail
63,4.0,91,Pass
66,4.0,71,Pass
100,5.0,86,Pass
79,3.0,55,Pass
88,3.0,58,Pass
94,1.5,73,Pass
86,4.0,79,Pass
47,2.0,30,Fail
72,3.5,54,Pass
42,4.5,79,Pass
77,0.5,94,Pass
97,3.5,26,Fail
68,1.5,44,Fail
63,2.0,58,Fail
37,0.5,41,Fail
97,1.5,27,Fail
42,6.0,63,Pass
38,6.0,70,Pass
51,4.5,54,Pass
39,4.0,51,Fail
65,5.0,94,Pass
69,5.5,58,Pass
55,3.5,81,Pass
38,0.5,45,Fail
42,4.5,83,Pass
60,6.0,83,Pass
39,2.0,44,Fail
80,3.0,71,Pass
48,2.5,73,Fail
55,2.5,56,Fail
61,4.5,79,Pass
62,2.5,46,Pass
35,5.5,59,Pass
42,5.0,94,Pass
91,0.5,38,Pass
35,5.0,35,Fail
68,5.0,35,Pass
67,3.5,95,Pass
57,3.0,36,Fail
63,5.0,38,Pass
86,3.0,74,Pass
90,1.5,78,Pass
52,2.0,62,Fail
56,2.0,94,Pass
51,4.0,28,Pass
66,1.5,68,Pass
79,4.0,67,Pass
50,3.0,47,Fail
56,5.0,88,Pass
95,3.0,64,Pass
38,5.5,42,Fail
65,5.5,31,Pass
81,1.5,32,Fail
45,4.5,88,Pass
38,1.5,43,Fail
44,5.0,88,Pass
95,4.0,33,Pass
36,2.0,94,Pass
47,2.0,83,Fail
37,3.0,33,Fail
42,5.0,31,Fail
75,5.0,81,Pass
51,0.5,30,Fail
72,2.0,43,Fail
73,3.0,81,Pass
90,3.5,89,Pass
35,1.5,79,Fail
90,2.5,87,Pass
75,5.5,64,Pass
46,3.0,80,Fail
85,4.5,49,Pass
91,3.0,80,Pass
52,3.0,73,Fail
95,4.0,65,Pass
65,2.0,94,Pass
74,2.0,58,Pass
99,6.0,68,Pass
58,5.5,61,Pass
88,4.5,43,Pass
56,1.5,48,Fail
87,0.5,94,Pass
74,1.5,52,Fail
49,5.5,73,Pass
62,5.0,65,Pass
56,3.5,87,Pass
40,6.0,78,Pass
37,1.5,31,Fail
58,3.5,50,Pass
36,1.5,75,Fail
46,2.0,36,Fail
82,5.5,60,Pass
81,5.5,47,Pass
83,1.0,30,Fail
56,2.0,95,Pass
93,4.0,90,Pass
74,1.0,77,Pass
43,3.5,39,Pass
44,3.5,94,Fail
80,2.0,69,Pass
46,2.0,93,Pass
68,2.0,28,Fail
99,5.5,37,Pass
35,2.5,72,Fail
36,3.5,89,Pass
100,2.0,37,Fail
73,4.5,47,Pass
43,1.0,66,Fail
93,1.0,95,Pass
92,4.5,81,Pass
70,4.5,90,Pass
75,2.0,72,Pass
53,2.5,86,Pass
38,6.0,60,Pass
74,1.0,34,Fail
54,1.5,75,Fail
78,3.0,67,Pass
89,2.0,59,Pass
36,4.0,44,Fail
74,4.5,80,Pass
50,3.5,82,Pass
92,4.0,50,Pass
51,3.0,90,Pass
75,4.5,51,Pass
71,0.5,33,Fail
61,2.0,37,Fail
79,4.5,60,Pass
82,2.5,31,Fail
72,1.0,75,Fail
84,2.5,81,Pass
99,4.5,63,Pass
62,1.0,88,Fail
68,4.5,92,Pass
36,5.0,56,Pass
87,4.0,31,Pass
69,2.0,41,Fail
62,5.0,71,Pass
41,1.5,53,Fail
93,5.5,73,Pass
61,4.5,72,Pass
79,1.0,67,Fail
45,5.0,36,Fail
98,3.5,45,Pass
47,3.0,51,Pass
48,3.0,83,Pass
91,4.0,73,Pass
94,4.5,70,Pass
49,5.5,72,Pass
66,2.0,60,Fail
83,4.0,28,Pass
92,4.5,39,Pass
60,4.0,35,Fail
69,3.0,29,Pass
83,2.5,47,Pass
83,4.5,80,Pass
86,2.0,33,Fail
72,1.5,33,Fail
42,3.5,34,Fail
94,2.0,44,Pass
91,0.5,39,Fail
87,1.0,26,Fail
41,4.5,44,Fail
48,6.0,95,Pass
83,3.0,49,Pass
37,1.5,40,Fail
99,5.0,60,Pass
60,2.0,41,Fail
82,6.0,64,Pass
93,3.5,53,Pass
61,2.0,88,Pass
56,3.0,90,Pass
75,2.5,75,Pass
73,5.0,40,Pass
62,1.0,58,Fail
74,5.0,46,Pass
96,4.5,81,Pass
65,5.0,27,Fail
48,5.5,71,Pass
60,2.0,48,Fail
61,3.5,59,Pass
44,5.0,48,Pass
46,2.5,51,Fail
79,1.0,72,Pass
57,2.0,67,Fail
97,2.0,42,Pass
51,5.5,28,Pass
41,3.0,85,Pass
84,4.5,59,Pass
92,6.0,68,Pass
53,2.0,59,Fail
48,4.5,68,Pass
47,0.5,69,Fail
69,1.0,26,Fail
65,1.5,62,Fail
52,2.0,60,Fail
38,2.5,32,Fail
66,3.0,77,Pass
97,2.0,42,Pass
77,1.0,29,Fail
67,4.0,81,Pass
42,0.5,86,Fail
51,5.0,42,Pass
54,5.5,73,Pass
85,4.5,25,Pass
92,4.0,75,Pass
94,4.0,58,Pass
99,4.0,80,Pass
99,5.5,53,Pass
97,6.0,50,Pass
40,3.0,84,Pass
44,4.0,28,Fail
55,5.0,38,Pass
71,0.5,54,Fail
41,3.5,67,Fail
90,4.0,25,Pass
75,4.5,65,Pass
70,2.5,51,Fail
46,2.0,69,Pass
51,1.5,88,Fail
45,3.5,56,Fail
90,5.5,64,Pass
73,5.5,57,Pass
83,2.5,33,Pass
54,2.0,81,Pass
59,5.0,87,Pass
61,4.5,82,Pass
84,3.5,91,Pass
85,2.5,58,Pass
48,1.0,71,Fail
96,5.0,37,Pass
43,4.0,93,Pass
93,2.5,66,Pass
42,5.5,43,Pass
52,4.0,81,Pass
90,5.5,66,Pass
47,3.0,91,Pass
62,3.0,79,Pass
64,5.5,86,Pass
51,6.0,63,Pass
81,6.0,61,Pass
90,5.0,78,Pass
92,3.0,32,Pass
57,1.5,29,Fail
70,2.5,94,Pass
51,5.5,89,Pass
51,2.5,92,Pass
45,4.5,29,Fail
96,5.5,44,Pass
93,6.0,88,Pass
86,5.5,31,Pass
69,3.5,57,Pass
67,3.0,49,Fail
69,6.0,87,Pass
70,1.5,61,Fail
63,1.5,45,Fail
44,6.0,62,Pass
43,4.5,33,Fail
97,3.5,76,Pass
66,1.0,68,Pass
97,3.5,67,Pass
46,5.5,56,Pass
71,4.0,46,Pass
49,2.5,30,Fail
51,3.5,91,Pass
37,5.5,54,Fail
43,5.5,60,Pass
95,2.5,51,Pass
56,4.0,94,Pass
75,2.0,81,Pass
65,3.0,32,Fail
61,1.5,68,Pass
70,3.5,59,Fail
47,3.5,81,Pass
99,2.5,95,Pass
88,2.0,77,Pass
83,1.5,86,Pass
65,1.5,60,Fail
45,4.5,51,Fail
95,1.5,70,Pass
57,1.0,77,Fail
38,6.0,41,Pass
57,2.0,60,Pass
87,5.5,33,Pass
75,4.0,40,Fail
84,4.5,87,Pass
87,3.5,35,Pass
49,1.5,82,Fail
95,5.0,51,Pass
63,5.0,71,Pass
77,2.5,89,Pass
35,4.5,80,Pass
100,3.5,83,Pass
53,5.5,43,Pass
39,5.0,50,Fail
65,0.5,76,Fail
43,5.5,79,Pass
45,6.0,80,Pass
76,4.5,77,Pass
61,1.0,41,Pass
95,5.0,45,Pass
56,4.0,91,Pass
82,2.5,64,Pass
65,5.5,78,Pass
78,3.5,67,Pass
74,5.0,90,Pass
66,4.0,86,Pass
97,2.0,43,Pass
57,6.0,87,Pass
47,3.5,46,Fail
79,3.5,56,Pass
90,2.5,85,Pass
38,1.0,48,Fail
64,4.5,45,Pass
93,3.0,72,Pass
84,5.5,95,Pass
99,6.0,34,Pass
70,4.5,74,Pass
78,2.0,62,Pass
55,4.5,54,Pass
97,0.5,77,Pass
59,5.0,64,Pass
83,3.0,81,Pass
61,5.5,77,Pass
72,2.5,94,Pass
82,2.0,82,Pass
68,6.0,30,Pass
94,3.5,80,Pass
62,5.0,70,Pass
77,5.5,31,Pass
57,3.5,67,Pass
62,3.0,78,Pass
64,3.5,39,Pass
43,5.0,55,Fail
41,6.0,63,Pass
78,2.5,54,Fail
78,4.5,86,Pass
78,2.0,37,Fail
36,4.0,79,Fail
56,5.0,79,Pass
48,5.5,56,Pass
86,3.0,63,Pass
91,2.5,36,Pass
51,2.0,39,Fail
78,1.0,62,Fail
43,2.5,41,Fail
53,5.5,81,Pass
44,3.0,68,Fail
53,2.0,29,Fail
79,4.5,50,Pass
94,1.5,85,Pass
48,2.0,44,Fail
70,5.5,75,Pass
81,1.0,32,Fail
97,3.0,90,Pass
75,3.5,56,Pass
52,2.0,59,Fail
76,2.0,65,Pass
56,1.5,50,Fail
98,2.5,76,Pass
61,5.5,26,Pass
80,3.0,36,Pass
37,3.0,38,Fail
61,2.5,69,Pass
92,6.0,87,Pass
75,1.0,29,Fail
64,5.5,85,Pass
96,2.5,82,Pass
91,6.0,30,Pass
56,2.0,35,Fail
70,1.0,50,Fail
67,3.5,33,Pass
76,2.0,78,Pass
57,4.5,60,Pass
51,4.0,54,Fail
94,4.5,76,Pass
95,1.5,46,Pass
90,4.5,86,Pass
99,2.0,71,Pass
83,6.0,49,Pass
85,4.5,63,Pass
85,3.5,43,Pass
66,5.5,94,Pass
65,3.5,55,Pass
51,3.5,88,Pass
77,2.0,93,Pass
54,4.0,63,Pass
52,2.5,76,Fail
73,0.5,65,Pass
62,5.0,31,Pass
49,1.0,92,Fail
88,4.0,57,Pass
91,1.5,88,Pass
46,3.0,71,Pass
35,5.0,32,Pass
57,1.0,54,Fail
87,4.0,39,Pass
90,4.0,37,Pass
44,5.5,75,Pass
85,1.5,27,Fail
43,5.0,93,Pass
60,3.0,56,Fail
100,3.0,59,Pass
48,2.5,46,Fail
45,2.5,31,Fail
62,3.5,66,Pass
75,1.0,49,Fail
96,3.0,69,Pass
99,4.0,64,Pass
40,3.0,40,Fail
44,1.5,57,Fail
86,2.5,47,Fail
53,3.0,42,Fail
93,4.0,79,Pass
78,5.5,26,Pass
42,3.5,44,Fail
89,4.0,62,Pass
46,1.0,58,Fail
63,5.5,91,Pass
71,2.0,84,Pass
68,2.5,78,Pass
80,1.5,61,Fail
77,1.0,55,Fail
99,5.0,28,Pass
100,2.0,83,Pass
69,2.0,55,Fail
41,1.5,47,Fail
82,6.0,67,Pass
98,5.0,78,Pass
56,5.5,62,Pass
65,5.0,35,Pass
63,5.5,90,Pass
38,3.0,33,Fail
79,1.5,93,Pass
58,2.5,56,Fail
86,2.0,91,Pass
89,4.5,89,Pass
88,0.5,53,Pass
62,1.5,81,Pass
56,4.5,31,Fail
84,1.0,31,Fail
87,1.0,50,Fail
67,1.0,68,Fail
93,4.5,26,Pass
44,1.5,61,Fail
92,1.5,93,Pass
41,2.0,85,Pass
45,4.5,41,Pass
70,1.5,62,Fail
39,0.5,37,Fail
38,5.5,43,Fail
35,5.5,90,Pass
63,1.5,95,Pass
85,2.0,42,Pass
37,1.5,40,Fail
77,4.5,52,Pass
